feature,coefficient,importance_absolue
tenure,-0.44591766217655887,0.44591766217655887
InternetCharges,0.27854946190556285,0.27854946190556285
MonthlyCharges,-0.21059085758881813,0.21059085758881813
Contract_index,0.1851437432607637,0.1851437432607637
Contract_index,0.1851437432607637,0.1851437432607637
TotalCharges,-0.08542725585508944,0.08542725585508944
PhoneService_index,0.06304689466099729,0.06304689466099729
PhoneService_index,0.06304689466099729,0.06304689466099729
TechSupport_index,0.049397052279355966,0.049397052279355966
TechSupport_index,0.049397052279355966,0.049397052279355966
Partner_index,0.04556761132774418,0.04556761132774418
Partner_index,0.04556761132774418,0.04556761132774418
MultipleLines_index,0.0366107967466917,0.0366107967466917
MultipleLines_index,0.0366107967466917,0.0366107967466917
gender_index,-0.03181861838735363,0.03181861838735363
gender_index,-0.03181861838735363,0.03181861838735363
OnlineBackup_index,0.026287497190913972,0.026287497190913972
OnlineBackup_index,0.026287497190913972,0.026287497190913972
StreamingMovies_index,0.02025898933959712,0.02025898933959712
StreamingMovies_index,0.020258989339597095,0.020258989339597095
Dependents_index,0.018264992482867566,0.018264992482867566
Dependents_index,0.018264992482867566,0.018264992482867566
OnlineSecurity_index,-0.015677498028314144,0.015677498028314144
OnlineSecurity_index,-0.015677498028314144,0.015677498028314144
DeviceProtection_index,0.007649352787372461,0.007649352787372461
DeviceProtection_index,0.007649352787372461,0.007649352787372461
InternetService_index,0.0028500385494012034,0.0028500385494012034
InternetService_index,0.0028500385494012034,0.0028500385494012034
StreamingTV_index,0.002503263927305751,0.002503263927305751
StreamingTV_index,0.0025032639273057503,0.0025032639273057503
SeniorCitizen,-0.0015928068049324087,0.0015928068049324087
